index,ride_id,rideable_type,user_type,day,month,type_week,season,trip_start_hour,start_station_name,start_user_total,end_station_name,end_user_total
2306,09C71AA9FE324BBC,docked_bike,casual,12,1,weekend,winter,19,Franklin St & Lake St,3343,Damen Ave & Cortland St,3288
2307,30C9542687376610,docked_bike,casual,1,1,weekday,winter,13,Broadway & Sheridan Rd,3339,Honore St & Division St,3275
2329,F6971F9DA57C465F,docked_bike,casual,30,1,weekday,winter,11,Wells St & Polk St,3332,Sedgwick St & Webster Ave,3193
2355,C3F692CBAFE7AFDF,docked_bike,casual,7,1,weekday,winter,8,Milwaukee Ave & Wabansia Ave,3328,Wells St & Polk St,3173
2396,20F7C8D703FC1E6C,docked_bike,casual,23,1,weekday,winter,12,Stetson Ave & South Water St,3269,Franklin St & Illinois St,3125
2404,4E2FAD22C64955EE,docked_bike,casual,16,1,weekday,winter,17,State St & Harrison St,3262,Franklin St & Lake St,3116
2414,3D58288C86E542A7,docked_bike,casual,26,1,weekend,winter,14,Sheffield Ave & Fullerton Ave,3226,Broadway & Sheridan Rd,3115
2436,9A9EF6B24AE9EA5D,docked_bike,casual,9,1,weekday,winter,18,Clarendon Ave & Gordon Ter,3214,Cornell Ave & Hyde Park Blvd,3111
2437,ACCCACBB9CF5D75C,docked_bike,casual,6,1,weekday,winter,2,Broadway & Granville Ave,3213,Sheridan Rd & Irving Park Rd,3097
2438,7B2AC046054B96F3,docked_bike,casual,26,1,weekend,winter,10,Burnham Harbor,3200,Lakefront Trail & Wilson Ave,3092
2519,9505BEEB9CB1F92A,docked_bike,casual,16,1,weekday,winter,10,Damen Ave & Cortland St,3197,Broadway & Granville Ave,3090
2556,9DF8DC02A49F802E,docked_bike,casual,10,1,weekday,winter,11,Lincoln Ave & Diversey Pkwy,3135,Clarendon Ave & Gordon Ter,3088
2557,1BA4FF5AA9E09D51,docked_bike,casual,10,1,weekday,winter,13,Cornell Ave & Hyde Park Blvd,3113,Lincoln Ave & Diversey Pkwy,3045
2568,2F5AC75EE9CEA56F,docked_bike,casual,2,1,weekday,winter,0,Franklin St & Monroe St,3075,Clark St & Berwyn Ave,3021
2614,900AAA18DC065579,docked_bike,casual,1,1,weekday,winter,18,California Ave & Milwaukee Ave,3065,Peoria St & Jackson Blvd,3016
2624,2FD191985F7D60E0,docked_bike,casual,27,1,weekday,winter,15,Lakefront Trail & Wilson Ave,3035,Larrabee St & Division St,2980
2637,FECA97E1BF721AB0,docked_bike,casual,28,1,weekday,winter,16,Peoria St & Jackson Blvd,2988,California Ave & Milwaukee Ave,2967
2645,05B36C6A396F4ABC,docked_bike,casual,3,1,weekday,winter,15,Clark St & Berwyn Ave,2949,Greenview Ave & Fullerton Ave,2929
2646,279547198C4FDD04,docked_bike,casual,3,1,weekday,winter,13,Clinton St & Lake St,2940,Kimbark Ave & 53rd St,2899
2706,0E0CB4892C8A7DA3,docked_bike,casual,25,1,weekend,winter,9,Southport Ave & Wellington Ave,2928,Sheffield Ave & Kingsbury St,2875
2718,F1D2A6F141133FB3,docked_bike,casual,6,1,weekday,winter,18,Michigan Ave & Ida B Wells Dr,2912,Southport Ave & Wellington Ave,2862
2764,F70C871ECC88DFE9,docked_bike,casual,28,1,weekday,winter,14,Desplaines St & Randolph St,2903,Desplaines St & Randolph St,2838
2822,73CB2DA2DE8E8B23,docked_bike,casual,19,1,weekend,winter,15,Kimbark Ave & 53rd St,2895,Broadway & Wilson Ave,2832
2826,869B26EEDEFDF774,docked_bike,casual,19,1,weekend,winter,18,Franklin St & Chicago Ave,2837,Clinton St & Lake St,2810
2830,8678E493A109CD07,docked_bike,casual,3,1,weekday,winter,10,Larrabee St & Division St,2781,Michigan Ave & Ida B Wells Dr,2736
2846,F4631EC58469E690,docked_bike,casual,8,1,weekday,winter,18,Orleans St & Merchandise Mart Plaza,2761,Franklin St & Monroe St,2723
